sampleid	Individual	Timepoint	Species	Stock	Treatment	Treatment_time	Stock_species	Age
5135-F	5135	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5135-L	5135	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5136-F	5136	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5136-L	5136	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5139-F	5139	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5139-L	5139	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5140-F	5140	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5140-L	5140	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5141-F	5141	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5141-L	5141	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5188-F	5188	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5188-L	5188	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
5189-F	5189	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5189-L	5189	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
5201-F	5201	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5201-L	5201	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5202-F	5202	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5202-L	5202	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5203-F	5203	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5203-L	5203	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5204-F	5204	first	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mousefirst	SQM	adult
5204-L	5204	last	Mus_musculus	SQM_adult	SQM_adult_mouse	SQM_adult_mouselast	SQM	adult
5401-F	5401	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5401-L	5401	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
5402-F	5402	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5403-F	5403	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5403-L	5403	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
5404-F	5404	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5405-F	5405	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5405-L	5405	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
5406-F	5406	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5406-L	5406	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
5407-F	5407	first	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mousefirst	macaque	adult
5407-L	5407	last	Mus_musculus	macaque_adult	macaque_adult_mouse	macaque_adult_mouselast	macaque	adult
